n,algorytm,porownania
162000,BinarySearch,18
162000,SmartSearch,19
163000,BinarySearch,26
163000,SmartSearch,16
164000,BinarySearch,24
164000,SmartSearch,20
165000,BinarySearch,27
165000,SmartSearch,21
166000,BinarySearch,25
166000,SmartSearch,21
167000,BinarySearch,23
167000,SmartSearch,29
168000,BinarySearch,28
168000,SmartSearch,21
169000,BinarySearch,29
169000,SmartSearch,22
170000,BinarySearch,27
170000,SmartSearch,19
171000,BinarySearch,26
171000,SmartSearch,20
172000,BinarySearch,21
172000,SmartSearch,24
173000,BinarySearch,28
173000,SmartSearch,27
174000,BinarySearch,28
174000,SmartSearch,22
175000,BinarySearch,26
175000,SmartSearch,20
176000,BinarySearch,25
176000,SmartSearch,20
177000,BinarySearch,24
177000,SmartSearch,24
178000,BinarySearch,28
178000,SmartSearch,22
179000,BinarySearch,29
179000,SmartSearch,23
180000,BinarySearch,29
180000,SmartSearch,24
181000,BinarySearch,25
181000,SmartSearch,23
182000,BinarySearch,29
182000,SmartSearch,24
183000,BinarySearch,27
183000,SmartSearch,23
184000,BinarySearch,27
184000,SmartSearch,18
185000,BinarySearch,22
185000,SmartSearch,26
186000,BinarySearch,27
186000,SmartSearch,23
187000,BinarySearch,30
187000,SmartSearch,25
188000,BinarySearch,25
188000,SmartSearch,20
189000,BinarySearch,23
189000,SmartSearch,21
190000,BinarySearch,27
190000,SmartSearch,24
191000,BinarySearch,30
191000,SmartSearch,20
192000,BinarySearch,28
192000,SmartSearch,24
193000,BinarySearch,29
193000,SmartSearch,21
194000,BinarySearch,26
194000,SmartSearch,25
195000,BinarySearch,26
195000,SmartSearch,24
196000,BinarySearch,25
196000,SmartSearch,22
197000,BinarySearch,24
197000,SmartSearch,17
198000,BinarySearch,23
198000,SmartSearch,22
199000,BinarySearch,26
199000,SmartSearch,15
200000,BinarySearch,26
200000,SmartSearch,21
201000,BinarySearch,28
201000,SmartSearch,22
202000,BinarySearch,23
202000,SmartSearch,19
203000,BinarySearch,29
203000,SmartSearch,23
204000,BinarySearch,28
204000,SmartSearch,19
205000,BinarySearch,29
205000,SmartSearch,15
206000,BinarySearch,25
206000,SmartSearch,27
207000,BinarySearch,27
207000,SmartSearch,26
208000,BinarySearch,26
208000,SmartSearch,24
209000,BinarySearch,22
209000,SmartSearch,26
210000,BinarySearch,29
210000,SmartSearch,26
211000,BinarySearch,30
211000,SmartSearch,20
212000,BinarySearch,25
212000,SmartSearch,22
213000,BinarySearch,30
213000,SmartSearch,24
214000,BinarySearch,30
214000,SmartSearch,21
215000,BinarySearch,28
215000,SmartSearch,28
216000,BinarySearch,26
216000,SmartSearch,28
217000,BinarySearch,26
217000,SmartSearch,23
218000,BinarySearch,27
218000,SmartSearch,26
219000,BinarySearch,26
219000,SmartSearch,20
220000,BinarySearch,24
220000,SmartSearch,26
221000,BinarySearch,29
221000,SmartSearch,21
222000,BinarySearch,27
222000,SmartSearch,22
223000,BinarySearch,22
223000,SmartSearch,22
224000,BinarySearch,25
224000,SmartSearch,19
225000,BinarySearch,26
225000,SmartSearch,25
226000,BinarySearch,24
226000,SmartSearch,20
227000,BinarySearch,27
227000,SmartSearch,25
228000,BinarySearch,22
228000,SmartSearch,24
229000,BinarySearch,25
229000,SmartSearch,22
230000,BinarySearch,26
230000,SmartSearch,26
231000,BinarySearch,27
231000,SmartSearch,23
232000,BinarySearch,26
232000,SmartSearch,24
233000,BinarySearch,29
233000,SmartSearch,25
234000,BinarySearch,28
234000,SmartSearch,23
235000,BinarySearch,20
235000,SmartSearch,17
236000,BinarySearch,30
236000,SmartSearch,26
237000,BinarySearch,26
237000,SmartSearch,16
238000,BinarySearch,25
238000,SmartSearch,23
239000,BinarySearch,23
239000,SmartSearch,27
240000,BinarySearch,23
240000,SmartSearch,23
241000,BinarySearch,27
241000,SmartSearch,25
242000,BinarySearch,26
242000,SmartSearch,24
243000,BinarySearch,24
243000,SmartSearch,25
244000,BinarySearch,26
244000,SmartSearch,26
245000,BinarySearch,30
245000,SmartSearch,23
246000,BinarySearch,26
246000,SmartSearch,24
247000,BinarySearch,24
247000,SmartSearch,26
248000,BinarySearch,28
248000,SmartSearch,28
249000,BinarySearch,28
249000,SmartSearch,23
250000,BinarySearch,28
250000,SmartSearch,22
251000,BinarySearch,24
251000,SmartSearch,28
252000,BinarySearch,26
252000,SmartSearch,23
253000,BinarySearch,28
253000,SmartSearch,28
254000,BinarySearch,21
254000,SmartSearch,16
255000,BinarySearch,27
255000,SmartSearch,25
256000,BinarySearch,19
256000,SmartSearch,15
257000,BinarySearch,26
257000,SmartSearch,25
258000,BinarySearch,27
258000,SmartSearch,23
259000,BinarySearch,28
259000,SmartSearch,22
260000,BinarySearch,25
260000,SmartSearch,22
261000,BinarySearch,23
261000,SmartSearch,24
262000,BinarySearch,22
262000,SmartSearch,21
263000,BinarySearch,28
263000,SmartSearch,25
264000,BinarySearch,24
264000,SmartSearch,24
265000,BinarySearch,27
265000,SmartSearch,25
266000,BinarySearch,29
266000,SmartSearch,23
267000,BinarySearch,28
267000,SmartSearch,21
268000,BinarySearch,26
268000,SmartSearch,15
269000,BinarySearch,26
269000,SmartSearch,26
270000,BinarySearch,27
270000,SmartSearch,28
271000,BinarySearch,32
271000,SmartSearch,25
272000,BinarySearch,23
272000,SmartSearch,19
273000,BinarySearch,26
273000,SmartSearch,24
274000,BinarySearch,25
274000,SmartSearch,21
275000,BinarySearch,25
275000,SmartSearch,25
276000,BinarySearch,26
276000,SmartSearch,25
277000,BinarySearch,27
277000,SmartSearch,27
278000,BinarySearch,27
278000,SmartSearch,22
279000,BinarySearch,27
279000,SmartSearch,25
280000,BinarySearch,27
280000,SmartSearch,21
281000,BinarySearch,23
281000,SmartSearch,24
282000,BinarySearch,27
282000,SmartSearch,26
283000,BinarySearch,27
283000,SmartSearch,21
284000,BinarySearch,29
284000,SmartSearch,24
285000,BinarySearch,29
285000,SmartSearch,25
286000,BinarySearch,27
286000,SmartSearch,24
287000,BinarySearch,21
287000,SmartSearch,25
288000,BinarySearch,27
288000,SmartSearch,19
289000,BinarySearch,28
289000,SmartSearch,22
290000,BinarySearch,26
290000,SmartSearch,25
291000,BinarySearch,27
291000,SmartSearch,24
292000,BinarySearch,25
292000,SmartSearch,22
293000,BinarySearch,22
293000,SmartSearch,23
294000,BinarySearch,29
294000,SmartSearch,28
295000,BinarySearch,27
295000,SmartSearch,22
296000,BinarySearch,17
296000,SmartSearch,14
297000,BinarySearch,27
297000,SmartSearch,26
298000,BinarySearch,27
298000,SmartSearch,28
299000,BinarySearch,24
299000,SmartSearch,22
300000,BinarySearch,31
300000,SmartSearch,16
