n,k_typ,algorytm,avg_porownania,avg_przestawienia
3700,3,SELECT,28121,31515
3700,3,RAND_SELECT,12558,11668
3700,4,SELECT,28283,31684
3700,4,RAND_SELECT,10781,11205
3700,5,SELECT,28526,32015
3700,5,RAND_SELECT,7561,7415
3800,1,SELECT,29364,32869
3800,1,RAND_SELECT,7676,7804
3800,2,SELECT,29447,32971
3800,2,RAND_SELECT,12473,12923
3800,3,SELECT,29190,32695
3800,3,RAND_SELECT,12555,12443
3800,4,SELECT,29146,32653
3800,4,RAND_SELECT,12226,11802
3800,5,SELECT,29349,32956
3800,5,RAND_SELECT,7432,7615
3900,1,SELECT,30302,33912
3900,1,RAND_SELECT,7251,6750
3900,2,SELECT,29717,33241
3900,2,RAND_SELECT,12064,11637
3900,3,SELECT,29637,33168
3900,3,RAND_SELECT,13380,13669
3900,4,SELECT,30016,33577
3900,4,RAND_SELECT,12085,12716
3900,5,SELECT,30088,33705
3900,5,RAND_SELECT,7762,7815
4000,1,SELECT,30895,34561
4000,1,RAND_SELECT,7498,7044
4000,2,SELECT,30527,34115
4000,2,RAND_SELECT,12398,11884
4000,3,SELECT,30557,34190
4000,3,RAND_SELECT,13676,14617
4000,4,SELECT,30732,34364
4000,4,RAND_SELECT,12634,12966
4000,5,SELECT,30785,34495
4000,5,RAND_SELECT,8835,8017
4100,1,SELECT,31646,35347
4100,1,RAND_SELECT,8663,9181
4100,2,SELECT,31565,35283
4100,2,RAND_SELECT,12725,12666
4100,3,SELECT,31517,35247
4100,3,RAND_SELECT,13883,14890
4100,4,SELECT,31191,34900
4100,4,RAND_SELECT,13025,12975
4100,5,SELECT,31678,35481
4100,5,RAND_SELECT,8078,8216
4200,1,SELECT,32417,36203
4200,1,RAND_SELECT,8480,8612
4200,2,SELECT,32422,36226
4200,2,RAND_SELECT,13651,13721
4200,3,SELECT,31737,35475
4200,3,RAND_SELECT,14251,13709
4200,4,SELECT,32365,36214
4200,4,RAND_SELECT,13041,13460
4200,5,SELECT,32384,36237
4200,5,RAND_SELECT,8051,8415
4300,1,SELECT,33197,37064
4300,1,RAND_SELECT,8395,8241
4300,2,SELECT,33034,36906
4300,2,RAND_SELECT,13858,14253
4300,3,SELECT,32807,36684
4300,3,RAND_SELECT,14844,15729
4300,4,SELECT,32843,36713
4300,4,RAND_SELECT,13488,14455
4300,5,SELECT,33226,37187
4300,5,RAND_SELECT,8178,8615
4400,1,SELECT,33984,37942
4400,1,RAND_SELECT,9718,10693
4400,2,SELECT,34036,38035
4400,2,RAND_SELECT,12940,13209
4400,3,SELECT,33596,37500
4400,3,RAND_SELECT,15654,15433
4400,4,SELECT,34017,38034
4400,4,RAND_SELECT,14282,13186
4400,5,SELECT,33945,37996
4400,5,RAND_SELECT,9385,8815
4500,1,SELECT,34875,38958
4500,1,RAND_SELECT,9652,10364
4500,2,SELECT,34837,38931
4500,2,RAND_SELECT,13926,13920
4500,3,SELECT,34631,38706
4500,3,RAND_SELECT,14889,14966
4500,4,SELECT,34257,38281
4500,4,RAND_SELECT,15716,15142
4500,5,SELECT,35060,39257
4500,5,RAND_SELECT,8794,9014
4600,1,SELECT,35577,39703
4600,1,RAND_SELECT,9740,10336
4600,2,SELECT,35657,39865
4600,2,RAND_SELECT,14433,14095
4600,3,SELECT,35594,39766
4600,3,RAND_SELECT,16437,16394
4600,4,SELECT,35441,39646
4600,4,RAND_SELECT,14872,14282
4600,5,SELECT,35581,39806
4600,5,RAND_SELECT,8897,9215
4700,1,SELECT,36519,40786
4700,1,RAND_SELECT,9162,8973
4700,2,SELECT,36234,40446
4700,2,RAND_SELECT,15069,15831
4700,3,SELECT,36524,40822
4700,3,RAND_SELECT,15989,15874
4700,4,SELECT,35832,40042
4700,4,RAND_SELECT,13610,13956
4700,5,SELECT,36341,40630
4700,5,RAND_SELECT,9297,9416
4800,1,SELECT,37277,41616
4800,1,RAND_SELECT,9613,9678
4800,2,SELECT,37008,41358
4800,2,RAND_SELECT,16171,17187
4800,3,SELECT,36972,41298
4800,3,RAND_SELECT,15466,15199
4800,4,SELECT,36979,41334
4800,4,RAND_SELECT,13498,14177
4800,5,SELECT,36860,41228
4800,5,RAND_SELECT,9864,9615
4900,1,SELECT,37710,42059
4900,1,RAND_SELECT,9429,9112
4900,2,SELECT,37787,42161
4900,2,RAND_SELECT,14219,14328
4900,3,SELECT,38119,42573
4900,3,RAND_SELECT,16836,16194
4900,4,SELECT,37907,42360
4900,4,RAND_SELECT,15480,16436
4900,5,SELECT,38040,42539
4900,5,RAND_SELECT,9682,9816
5000,1,SELECT,38764,43258
5000,1,RAND_SELECT,9576,9200
5000,2,SELECT,38649,43125
5000,2,RAND_SELECT,14984,14909
5000,3,SELECT,38169,42637
5000,3,RAND_SELECT,15772,16510
5000,4,SELECT,39012,43612
5000,4,RAND_SELECT,16417,16293
5000,5,SELECT,38777,43391
5000,5,RAND_SELECT,8914,10015
5100,1,SELECT,39568,44132
5100,1,RAND_SELECT,10885,11620
5100,2,SELECT,39428,43993
5100,2,RAND_SELECT,16542,15964
5100,3,SELECT,38907,43427
5100,3,RAND_SELECT,15655,15741
5100,4,SELECT,39412,44014
5100,4,RAND_SELECT,16215,15632
5100,5,SELECT,39799,44508
5100,5,RAND_SELECT,11182,10217
5200,1,SELECT,40304,44947
5200,1,RAND_SELECT,10445,10545
5200,2,SELECT,39871,44479
5200,2,RAND_SELECT,15767,16016
5200,3,SELECT,40374,45081
5200,3,RAND_SELECT,17322,16243
5200,4,SELECT,39689,44325
5200,4,RAND_SELECT,16625,17452
5200,5,SELECT,40376,45133
5200,5,RAND_SELECT,9880,10415
5300,1,SELECT,41088,45783
5300,1,RAND_SELECT,10499,10453
5300,2,SELECT,41011,45754
5300,2,RAND_SELECT,16417,16236
5300,3,SELECT,40936,45660
5300,3,RAND_SELECT,18565,17374
5300,4,SELECT,41464,46325
5300,4,RAND_SELECT,15804,16489
5300,5,SELECT,40990,45787
5300,5,RAND_SELECT,10345,10616
5400,1,SELECT,42007,46846
5400,1,RAND_SELECT,10831,10913
5400,2,SELECT,41959,46778
5400,2,RAND_SELECT,17640,18845
5400,3,SELECT,41905,46796
5400,3,RAND_SELECT,17537,16455
5400,4,SELECT,41936,46827
5400,4,RAND_SELECT,16013,16167
5400,5,SELECT,41700,46600
5400,5,RAND_SELECT,11356,10816
5500,1,SELECT,42971,47938
5500,1,RAND_SELECT,11207,11467
5500,2,SELECT,42596,47522
5500,2,RAND_SELECT,17836,17239
5500,3,SELECT,42763,47727
5500,3,RAND_SELECT,17361,16774
5500,4,SELECT,42909,47931
5500,4,RAND_SELECT,16718,16378
5500,5,SELECT,42206,47142
5500,5,RAND_SELECT,11443,11016
5600,1,SELECT,43475,48458
5600,1,RAND_SELECT,11834,12525
5600,2,SELECT,43587,48635
5600,2,RAND_SELECT,16998,15981
5600,3,SELECT,43254,48251
5600,3,RAND_SELECT,18653,19342
5600,4,SELECT,43289,48360
5600,4,RAND_SELECT,17081,17282
5600,5,SELECT,43603,48700
5600,5,RAND_SELECT,11148,11215
5700,1,SELECT,44246,49339
5700,1,RAND_SELECT,11860,12379
5700,2,SELECT,44175,49257
5700,2,RAND_SELECT,17085,17000
5700,3,SELECT,44518,49672
5700,3,RAND_SELECT,20278,20851
5700,4,SELECT,43921,49070
5700,4,RAND_SELECT,18643,19682
5700,5,SELECT,44286,49474
5700,5,RAND_SELECT,11024,11415
5800,1,SELECT,45114,50253
5800,1,RAND_SELECT,12765,13990
5800,2,SELECT,44962,50161
5800,2,RAND_SELECT,18728,18659
5800,3,SELECT,45355,50591
5800,3,RAND_SELECT,20252,21165
5800,4,SELECT,44581,49734
5800,4,RAND_SELECT,16289,16508
5800,5,SELECT,45388,50676
5800,5,RAND_SELECT,11513,11616
5900,1,SELECT,45886,51139
5900,1,RAND_SELECT,12138,12532
5900,2,SELECT,46075,51395
5900,2,RAND_SELECT,18793,19704
5900,3,SELECT,45649,50929
5900,3,RAND_SELECT,20452,20450
5900,4,SELECT,45864,51176
5900,4,RAND_SELECT,19349,18895
5900,5,SELECT,45821,51220
5900,5,RAND_SELECT,12256,11816
6000,1,SELECT,46769,52105
6000,1,RAND_SELECT,11903,11860
6000,2,SELECT,46622,51974
6000,2,RAND_SELECT,18961,19373
6000,3,SELECT,46926,52324
6000,3,RAND_SELECT,21659,22039
6000,4,SELECT,46911,52338
6000,4,RAND_SELECT,19827,19005
6000,5,SELECT,46758,52143
6000,5,RAND_SELECT,11315,12016
6100,1,SELECT,47281,52662
6100,1,RAND_SELECT,10793,9438
6100,2,SELECT,46968,52324
6100,2,RAND_SELECT,18930,18852
6100,3,SELECT,47746,53256
6100,3,RAND_SELECT,20299,21334
6100,4,SELECT,47115,52546
6100,4,RAND_SELECT,19441,19061
6100,5,SELECT,47685,53258
6100,5,RAND_SELECT,12430,12216
6200,1,SELECT,48277,53772
6200,1,RAND_SELECT,12335,12327
6200,2,SELECT,48581,54161
