n,group_size,avg_porownania,avg_przestawienia,avg_czas_us
72000,5,584512,643160,2053
72000,7,600427,641695,1967
72000,9,654152,687435,1897
72000,19,963882,981865,1860
72000,21,1024529,1041033,1853
73000,3,721692,844208,3351
73000,5,592016,650843,2115
73000,7,615123,657595,1898
73000,9,665440,699586,1820
73000,19,970510,988628,1844
73000,21,1046359,1063344,1892
74000,3,734834,859664,3372
74000,5,601685,662145,2077
74000,7,621844,664849,1993
74000,9,675970,710574,1959
74000,19,988891,1007304,1985
74000,21,1052922,1070008,1913
75000,3,743260,869989,3417
75000,5,610570,671871,2148
75000,7,633102,676912,1991
75000,9,684608,719683,1960
75000,19,996051,1014759,1973
75000,21,1069413,1086651,1927
76000,3,756234,884689,3587
76000,5,612395,673836,2280
76000,7,642500,686758,2075
76000,9,693652,729190,2006
76000,19,1006756,1025528,1994
76000,21,1071341,1088696,2025
77000,3,758776,887923,3622
77000,5,620264,682362,2183
77000,7,647653,692321,2004
77000,9,696441,731903,1932
77000,19,1026532,1045739,1938
77000,21,1094448,1112234,1984
78000,3,773980,905202,3667
78000,5,628896,691828,2279
78000,7,658301,703775,2118
78000,9,709173,745337,2017
78000,19,1038086,1057311,2065
78000,21,1106590,1124509,2159
79000,3,778630,910967,3699
79000,5,644366,708839,2192
79000,7,662347,707795,2028
79000,9,716160,752565,1977
79000,19,1056373,1076099,2036
79000,21,1120620,1138648,2117
80000,3,795430,930622,3895
80000,5,651370,716346,2220
80000,7,669434,715762,2045
80000,9,729427,766665,1992
80000,19,1064978,1084831,2008
80000,21,1138535,1157001,2069
81000,3,807456,943802,3701
81000,5,652663,717949,2220
81000,7,675607,722160,2080
81000,9,737966,775663,2011
81000,19,1065611,1085600,2010
81000,21,1149608,1168143,2070
82000,3,818472,956810,3762
82000,5,669338,736211,2278
82000,7,691743,739253,2118
82000,9,745055,782862,2030
82000,19,1091886,1112284,2068
82000,21,1166218,1185005,2101
83000,3,822973,962248,3786
83000,5,676113,743825,2301
83000,7,701679,750119,2141
83000,9,753854,792293,2060
83000,19,1104457,1125009,2093
83000,21,1169465,1188324,2114
84000,3,839083,981237,3829
84000,5,685979,754466,2340
84000,7,705101,753234,2181
84000,9,756668,795261,2067
84000,19,1115340,1136202,2523
84000,21,1196588,1215884,2380
85000,3,837689,979472,4126
85000,5,691393,760770,2369
85000,7,710348,759239,2167
85000,9,771957,811338,2121
85000,19,1118986,1139816,2111
85000,21,1209422,1229040,2175
86000,3,856337,1000760,4052
86000,5,699273,768613,2540
86000,7,716016,765205,2252
86000,9,781583,821335,2133
86000,19,1147497,1168801,2170
86000,21,1226252,1245974,2213
87000,3,863557,1009401,3946
87000,5,705692,776219,2385
87000,7,731116,780963,2248
87000,9,791732,831921,2162
87000,19,1158548,1180011,2185
87000,21,1238470,1258301,2245
88000,3,877279,1025242,4005
88000,5,719829,791571,2452
88000,7,744691,795896,2279
88000,9,792703,832913,2166
88000,19,1170524,1192237,2210
88000,21,1225286,1245281,2221
89000,3,887976,1037484,4295
89000,5,724617,796732,2550
89000,7,750394,802127,2304
89000,9,809957,851157,2213
89000,19,1186301,1208225,2233
89000,21,1265193,1285544,2290
90000,3,896051,1047056,4435
90000,5,729203,801619,2568
90000,7,758557,810476,2320
90000,9,814378,855650,2222
90000,19,1191951,1214265,2257
90000,21,1280276,1300560,2310
91000,3,911803,1065366,4164
91000,5,740711,815006,2512
91000,7,771200,824279,2347
91000,9,821165,862974,2238
91000,19,1192622,1214823,2259
91000,21,1283625,1304217,2324
92000,3,904686,1056510,4427
92000,5,750094,825082,2561
92000,7,775253,828391,2364
92000,9,826631,868692,2271
92000,19,1220263,1243107,2298
92000,21,1290406,1311384,2342
93000,3,918381,1072385,4305
93000,5,755885,830756,2717
93000,7,785463,839360,2491
93000,9,847324,890311,2479
93000,19,1233891,1256873,2366
93000,21,1325712,1346949,2377
94000,3,928898,1084754,4253
94000,5,766230,842424,2626
94000,7,792528,846408,2555
94000,9,852363,895235,2340
94000,19,1248040,1271403,2455
94000,21,1336215,1357734,2551
95000,3,923287,1077788,4381
95000,5,770801,847374,2785
95000,7,800482,855311,2461
95000,9,859132,902511,2356
95000,19,1262670,1286228,2379
95000,21,1346005,1367479,2420
96000,3,956792,1117195,4542
96000,5,780604,857911,2801
96000,7,812797,868685,2650
96000,9,871955,916372,2511
96000,19,1276529,1300130,2515
96000,21,1360981,1382920,2560
97000,3,965532,1127328,4466
97000,5,790969,869346,2737
97000,7,812577,868124,2566
97000,9,882122,927114,2409
97000,19,1273556,1297229,2460
97000,21,1368223,1390258,2696
98000,3,973605,1136385,4786
98000,5,798099,877677,2822
98000,7,821875,878462,2516
98000,9,891026,935957,2484
98000,19,1306991,1331414,2594
98000,21,1397444,1420117,2517
99000,3,990780,1156781,4538
99000,5,798223,877293,2720
99000,7,835191,892319,2558
99000,9,903008,948706,2578
99000,19,1317017,1341518,2550
99000,21,1404589,1427138,2529
100000,3,998272,1165016,4569
100000,5,810955,891340,2767
100000,7,833758,890690,2634
100000,9,906506,952287,2639
100000,19,1337710,1362419,2688
100000,21,1417621,1440234,2744
